period,zone,price_engine,price_official,diff,coherence
47,CNOR,134.54,134.54,0.0,OK
47,CSUD,134.54,134.54,0.0,OK
47,SUD,134.54,134.54,0.0,OK
47,CALA,134.54,134.54,0.0,OK
47,SICI,134.54,134.54,0.0,OK
47,SARD,51.5,51.5,0.0,OK
48,NORD,132.3,131.72075,0.58,OK
48,CNOR,132.3,131.72075,0.58,OK
48,CSUD,132.3,131.72075,0.58,OK
48,SUD,132.3,131.72075,0.58,OK
48,CALA,132.3,131.72075,0.58,OK
48,SICI,132.3,131.72075,0.58,OK
48,SARD,132.3,131.72075,0.58,OK
49,NORD,136.66,136.66,0.0,OK
49,CNOR,136.66,136.66,0.0,OK
49,CSUD,136.66,136.66,0.0,OK
49,SUD,136.66,136.66,0.0,OK
49,CALA,136.66,136.66,0.0,OK
49,SICI,136.66,136.66,0.0,OK
49,SARD,136.66,136.66,0.0,OK
50,NORD,134.54,134.54,0.0,OK
50,CNOR,134.54,134.54,0.0,OK
50,CSUD,134.54,134.54,0.0,OK
50,SUD,134.54,134.54,0.0,OK
50,CALA,134.54,134.54,0.0,OK
50,SICI,134.54,134.54,0.0,OK
50,SARD,134.54,134.54,0.0,OK
51,NORD,127.72,127.72,0.0,OK
51,CNOR,127.72,127.72,0.0,OK
51,CSUD,127.72,127.72,0.0,OK
51,SUD,127.72,127.72,0.0,OK
51,CALA,127.72,127.72,0.0,OK
51,SICI,127.72,127.72,0.0,OK
51,SARD,127.16,127.16,0.0,OK
52,NORD,121.48,121.48,0.0,OK
52,CNOR,121.48,121.48,0.0,OK
52,CSUD,121.48,121.48,0.0,OK
52,SUD,121.48,121.48,0.0,OK
52,CALA,121.48,121.48,0.0,OK
52,SICI,121.48,121.48,0.0,OK
52,SARD,121.22,121.22,0.0,OK
53,NORD,121.0,121.0,0.0,OK
53,CNOR,121.0,121.0,0.0,OK
53,CSUD,121.0,121.0,0.0,OK
53,SUD,121.0,121.0,0.0,OK
53,CALA,121.0,121.0,0.0,OK
53,SICI,121.0,121.0,0.0,OK
53,SARD,120.25,120.25,0.0,OK
54,NORD,129.13,129.13,0.0,OK
54,CNOR,129.13,129.13,0.0,OK
54,CSUD,129.13,129.13,0.0,OK
54,SUD,129.13,129.13,0.0,OK
54,CALA,129.13,129.13,0.0,OK
54,SICI,129.13,129.13,0.0,OK
54,SARD,121.22,121.22,0.0,OK
55,NORD,133.88,133.88,0.0,OK
55,CNOR,133.88,133.88,0.0,OK
55,CSUD,133.88,133.88,0.0,OK
55,SUD,133.88,133.88,0.0,OK
55,CALA,133.88,133.88,0.0,OK
55,SICI,133.88,133.88,0.0,OK
55,SARD,130.96,130.96,0.0,OK
56,NORD,136.39,136.39,0.0,OK
56,CNOR,136.39,136.39,0.0,OK
56,CSUD,136.39,136.39,0.0,OK
56,SUD,136.39,136.39,0.0,OK
56,CALA,136.39,136.39,0.0,OK
56,SICI,136.39,136.39,0.0,OK
56,SARD,136.39,136.39,0.0,OK
57,NORD,134.54,134.54,0.0,OK
57,CNOR,134.54,134.54,0.0,OK
57,CSUD,134.54,134.54,0.0,OK
57,SUD,134.54,134.54,0.0,OK
57,CALA,134.54,134.54,0.0,OK
57,SICI,134.54,134.54,0.0,OK
57,SARD,134.54,134.54,0.0,OK
58,NORD,133.9,133.9,0.0,OK
58,CNOR,133.9,133.9,0.0,OK
58,CSUD,133.9,133.9,0.0,OK
58,SUD,133.9,133.9,0.0,OK
58,CALA,133.9,133.9,0.0,OK
58,SICI,133.9,133.9,0.0,OK
58,SARD,133.9,133.9,0.0,OK
59,NORD,134.54,134.54,0.0,OK
59,CNOR,134.54,134.54,0.0,OK
59,CSUD,134.54,134.54,0.0,OK
59,SUD,134.54,134.54,0.0,OK
59,CALA,134.54,134.54,0.0,OK
59,SICI,134.54,134.54,0.0,OK
59,SARD,134.54,134.54,0.0,OK
60,NORD,134.54,134.54,0.0,OK
60,CNOR,134.54,134.54,0.0,OK
60,CSUD,134.54,134.54,0.0,OK
60,SUD,134.54,134.54,0.0,OK
60,CALA,134.54,134.54,0.0,OK
60,SICI,134.54,134.54,0.0,OK
60,SARD,134.54,134.54,0.0,OK
61,NORD,123.86,123.86,0.0,OK
61,CNOR,123.86,123.86,0.0,OK
61,CSUD,123.86,123.86,0.0,OK
61,SUD,123.86,123.86,0.0,OK
61,CALA,123.86,123.86,0.0,OK
61,SICI,123.86,123.86,0.0,OK
61,SARD,40.0,40.0,0.0,OK
62,NORD,127.46,127.46,0.0,OK
62,CNOR,127.46,127.46,0.0,OK
62,CSUD,127.46,127.46,0.0,OK
62,SUD,127.46,127.46,0.0,OK
62,CALA,127.46,127.46,0.0,OK
62,SICI,127.46,127.46,0.0,OK
62,SARD,26.5,26.5,0.0,OK
63,NORD,134.54,134.54,0.0,OK
63,CNOR,134.54,134.54,0.0,OK
63,CSUD,134.54,134.54,0.0,OK
63,SUD,134.54,134.54,0.0,OK
63,CALA,134.54,134.54,0.0,OK
63,SICI,134.54,134.54,0.0,OK
63,SARD,26.5,26.5,0.0,OK
64,NORD,134.54,134.54,0.0,OK
64,CNOR,134.54,134.54,0.0,OK
64,CSUD,134.54,134.54,0.0,OK
64,SUD,134.54,134.54,0.0,OK
64,CALA,134.54,134.54,0.0,OK
64,SICI,134.54,134.54,0.0,OK
64,SARD,26.5,26.5,0.0,OK
65,NORD,134.54,134.54,0.0,OK
65,CNOR,134.54,134.54,0.0,OK
65,CSUD,134.54,134.54,0.0,OK
65,SUD,134.54,134.54,0.0,OK
65,CALA,134.54,134.54,0.0,OK
65,SICI,134.54,134.54,0.0,OK
65,SARD,26.5,26.5,0.0,OK
66,NORD,152.0,152.0,0.0,OK
66,CNOR,152.0,152.0,0.0,OK
66,CSUD,152.0,152.0,0.0,OK
66,SUD,152.0,152.0,0.0,OK
66,CALA,152.0,152.0,0.0,OK
66,SICI,152.0,152.0,0.0,OK
66,SARD,26.5,26.5,0.0,OK
67,NORD,148.59,148.59,0.0,OK
67,CNOR,148.59,148.59,0.0,OK
67,CSUD,148.59,148.59,0.0,OK
67,SUD,148.59,148.59,0.0,OK
67,CALA,148.59,148.59,0.0,OK
67,SICI,148.59,148.59,0.0,OK
67,SARD,40.0,40.0,0.0,OK
68,NORD,145.97,145.97,0.0,OK
68,CNOR,145.97,145.97,0.0,OK
68,CSUD,145.97,145.97,0.0,OK
68,SUD,145.97,145.97,0.0,OK
68,CALA,145.97,145.97,0.0,OK
68,SICI,145.97,145.97,0.0,OK
68,SARD,40.0,40.0,0.0,OK
69,NORD,134.54,134.54,0.0,OK
69,CNOR,134.54,134.54,0.0,OK
69,CSUD,134.54,134.54,0.0,OK
69,SUD,134.54,134.54,0.0,OK
69,CALA,134.54,134.54,0.0,OK
69,SICI,134.54,134.54,0.0,OK
69,SARD,51.5,51.5,0.0,OK
70,NORD,134.54,134.54,0.0,OK
70,CNOR,134.54,134.54,0.0,OK
70,CSUD,134.54,134.54,0.0,OK
70,SUD,134.54,134.54,0.0,OK
