period,arc,flow_engine,flow_official,limit,limit_reverse
51,CALA-SICI,-217.8,-217.8,1673.0,1607.0
51,CALA-SUD,172.3,172.3,1725.0,1602.0
51,CNOR-CSUD,-2696.1,-2660.9,3300.0,3832.0
51,CNOR-NORD,1501.8,1466.6,3380.0,3000.0
51,CSUD-SARD,-900.0,-900.0,720.0,900.0
51,CSUD-SUD,-2337.6,-2302.4,2400.0,5309.0
52,CALA-SICI,-251.1,-251.1,1673.0,1607.0
52,CALA-SUD,217.0,217.0,1725.0,1602.0
52,CNOR-CSUD,-2771.1,-2735.9,3300.0,3832.0
52,CNOR-NORD,1629.5,1594.3,3380.0,3000.0
52,CSUD-SARD,-900.0,-900.0,720.0,900.0
52,CSUD-SUD,-2431.8,-2396.6,2400.0,5309.0
53,CALA-SICI,-290.0,-290.0,1673.0,1607.0
53,CALA-SUD,256.8,256.8,1725.0,1602.0
53,CNOR-CSUD,-2656.3,-2780.2,3300.0,3832.0
53,CNOR-NORD,1544.1,1668.0,3380.0,3000.0
53,CSUD-SARD,-900.0,-900.0,720.0,900.0
53,CSUD-SUD,-2164.7,-2288.6,2400.0,5309.0
54,CALA-SICI,-315.6,-315.6,1673.0,1607.0
54,CALA-SUD,285.6,285.6,1725.0,1602.0
54,CNOR-CSUD,-2730.6,-2854.5,3300.0,3832.0
54,CNOR-NORD,1599.3,1723.2,3380.0,3000.0
54,CSUD-SARD,-900.0,-900.0,720.0,900.0
54,CSUD-SUD,-2179.3,-2303.2,2400.0,5309.0
55,CALA-SICI,-336.0,-336.0,1673.0,1607.0
55,CALA-SUD,317.0,317.0,1725.0,1602.0
55,CNOR-CSUD,-2862.9,-2986.8,3300.0,3832.0
55,CNOR-NORD,1721.3,1845.2,3380.0,3000.0
55,CSUD-SARD,-900.0,-900.0,720.0,900.0
55,CSUD-SUD,-2250.9,-2374.8,2400.0,5309.0
56,CALA-SICI,-338.0,-338.0,1673.0,1607.0
56,CALA-SUD,318.0,318.0,1725.0,1602.0
56,CNOR-CSUD,-2644.8,-2768.7,3300.0,3832.0
56,CNOR-NORD,1494.0,1617.9,3380.0,3000.0
