block,zone,side,price,mar,volume,status_official,status_engine,ratio_engine,ratio_official,weighted_price
995898898746351,NORD,-1,256.11,1.0,17158.0,REJ,rejected,0.0,0.0,214.54446555542603
995898898746338,NORD,-1,217.38,1.0,10970.0,REJ,rejected,0.0,0.0,199.04346672743847
995898898746339,NORD,-1,249.04,1.0,8910.0,REJ,rejected,0.0,0.0,243.14738159371493
995898898746352,NORD,-1,275.46,1.0,9626.0,REJ,rejected,0.0,0.0,243.0951527114066
995898898746340,NORD,-1,209.46,1.0,14882.0,ACC,accepted,1.0,1.0,223.03125722349145
995898898746341,NORD,-1,199.53,1.0,11996.0,REJ,rejected,0.0,0.0,199.09444398132712
995898898746342,NORD,-1,242.36,1.0,9826.0,PREJ,paradoxically_rejected,0.0,0.0,243.090696112355
995898898801073,NORD,-1,264.18,1.0,35660.0,REJ,rejected,0.0,0.0,220.55880902972518
995898898548017,CSUD,-1,231.86,0.88,8040.0,REJ,rejected,0.0,0.0,208.22125
995898898548020,CSUD,-1,264.11,0.88,5340.0,REJ,rejected,0.0,0.0,248.4674906367041
995898898548018,CSUD,-1,231.86,0.88,10560.0,REJ,rejected,0.0,0.0,195.6653125
995898898548019,CSUD,-1,253.36,0.88,7980.0,REJ,rejected,0.0,0.0,242.54568922305765
995898898548022,NORD,-1,285.58,0.96,7920.0,REJ,rejected,0.0,0.0,208.22125
995898898548024,NORD,-1,306.25,0.96,5280.0,REJ,rejected,0.0,0.0,248.418125
995898898548021,NORD,-1,271.79,0.96,11880.0,REJ,rejected,0.0,0.0,205.5977777777778
995898898548023,NORD,-1,293.85,0.96,6600.0,REJ,rejected,0.0,0.0,239.7895
995898898548025,NORD,-1,223.92,0.94,8160.0,REJ,rejected,0.0,0.0,208.22125000000003
995898898548027,NORD,-1,250.45,0.94,6800.0,REJ,rejected,0.0,0.0,241.26450000000003
995898898548026,NORD,-1,223.92,0.94,8160.0,REJ,rejected,0.0,0.0,191.67
995898898907574,NORD,-1,242.87,0.94,9520.0,REJ,rejected,0.0,0.0,240.95107142857145
995898898548030,SICI,-1,333.23,1.0,6000.0,PREJ,paradoxically_rejected,0.0,0.0,365.9175
995898898548031,SICI,-1,362.42,1.0,4000.0,REJ,rejected,0.0,0.0,281.41125
995898898548028,SICI,-1,324.9,1.0,7000.0,REJ,rejected,0.0,0.0,189.25964285714286
995898898548029,SICI,-1,324.9,1.0,7000.0,PREJ,paradoxically_rejected,0.0,0.0,333.1510714285714
995898898548034,SICI,-1,347.28,1.0,6002.4,PREJ,paradoxically_rejected,0.0,0.0,365.9175
995898898548035,SICI,-1,391.61,1.0,4001.6,REJ,rejected,0.0,0.0,281.41125
995898898548032,SICI,-1,334.61,1.0,7002.8,REJ,rejected,0.0,0.0,189.25964285714284
